House ID,Number of Bedrooms,Number of Bathrooms,Area (m2),Zip Code,Price
1,4,4,4053,85255,869500
2,4,3,3343,36372,865200
3,3,4,3923,85266,889000
4,5,5,4022,85262,910000
5,3,4,4116,85266,971226
6,4,5,4581,85266,1249000
7,3,4,2544,85262,799000
8,4,5,5524,85266,1698000
9,3,4,4229,85255,1749000
10,4,5,3550,85262,1500000
11,5,5,4829,85266,519200
12,4,4,3428,85255,1039000
13,5,3,5462,85266,799000
14,4,4,4021,85266,889000
15,5,5,4406,85266,700000
16,4,4,3721,85255,500000
17,5,3,3710,85331,740000
18,3,4,2748,85255,725000
19,5,4,4190,85255,1199000
20,3,3.5,4143,85266,925000
21,3,3.5,4229,85255,1749000
22,6,6.5,5963,85262,1595000
23,3,3,2685,85255,799900
24,5,5,5677,85377,1375000
25,4,4.5,4031,85262,1345000
26,4,4,4954,85262,1290000
27,4,4.5,3550,85262,962500
28,5,4.5,4180,85266,875000
29,4,4,4464,85377,1650000
30,5,4.5,4829,85266,1199000
31,5,3,2520,93446,789000
32,4,3.5,3428,85255,1039000
33,3,2,1802,93446,365000
34,3,3.5,2873,85262,1695000
35,4,4,3260,85377,999000
36,3,4.5,3893,85255,1294000
37,5,5.5,3932,85262,1089000
38,3,3.5,2792,85255,799900
39,3,4.5,4228,85255,1229000
40,3,3,2146,93446,455000
41,4,1,9583,98021,395000
42,5,2,7627,98021,638940
43,3,2,2153,98021,435000
44,3,2.5,2014,98021,528800
45,4,2,1928,81524,350000
46,3,3,2134,81524,425000
47,4,3,2504,81524,500000
48,3,3,2462,81524,589900
49,4,3,3904,81418,419000
50,3,2,2034,81418,415000
51,3,2,1594,81521,214900
52,4,2,2957,81524,699900
53,3,3,1894,81524,449000
54,4,2,2128,81524,249900
55,5,3,3267,81524,595999
56,3,3,2836,81524,535000
57,4,3,2174,81524,439900
58,3,2,1508,81524,450000
59,3,2,2288,62214,196000
60,3,2,1709,62234,104900
61,3,2.5,1776,62034,209900
62,5,3.5,4560,62025,520000
63,4,3,2686,62025,249900
64,3,2,1201,62088,119000
65,4,2.5,2850,62234,218000
66,4,3.5,3768,62234,254900
67,3,2.5,2750,62234,219500
68,4,3,2851,62234,186500
69,4,1.5,1254,62234,94500
70,4,4.5,3740,62249,339900
71,3,2.5,3233,62234,259000
72,3,2,2288,62214,196000
73,4,3,2256,62214,144900
74,3,2,2154,60002,349900
75,4,3.5,2116,60002,229000
76,3,2,1600,62214,184900
77,3,2.5,2172,60002,225000
78,4,2.5,3316,60046,289900
79,4,2,7841,60016,299000
80,3,2,1200,60016,224900
81,4,2.5,2464,91901,599000
82,2,2,1845,91901,529800
83,2,1,1184,91901,397500
84,4,2.5,3060,91901,699999
85,3,2.5,2733,91901,689000
86,3,2,1706,91901,529000
87,5,4.5,4886,91901,1430000
88,4,3.5,3029,91901,825000
89,4,2.5,2620,91901,619000
90,7,4,2929,91901,625000
91,4,3.5,3328,91901,1095000
92,3,2,2250,91901,625000
93,3,2.5,2836,91901,979000
94,2,2.5,1499,91901,539000
95,3,2,960,91901,65000
96,3,2,2671,91901,521500
97,5,3,3747,91901,925000
98,3,2.5,1675,91901,470000
99,4,2.5,3115,93446,629000
100,4,3.5,3426,91901,679000
101,3,2,1288,91901,549000
102,4,4,4042,91901,769000
103,2,2,1005,91901,245900
104,4,2.5,2726,91901,644900
105,3,3,1937,91901,895000
106,3,2.5,2445,91901,699000
107,3,2,1826,93446,529000
108,4,3.5,1084,91901,875000
109,4,3,3706,91901,848000
110,5,4.5,4874,91901,1499000
111,4,3,3277,91901,669000
112,3,3.5,4289,91901,1195000
113,5,3.5,3778,91901,949000
114,4,3,1613,91901,749900
115,3,2,1382,92021,429900
116,3,2.5,3300,92021,935000
117,4,2,1771,92021,475000
118,3,2.5,1915,92021,485000
119,3,2.5,1680,92021,389000
120,4,2,1696,92021,379000
121,4,2,2150,92021,578000
122,3,2,1611,92021,575000
123,5,3,4200,92021,799000
124,4,2.5,2319,92021,699800
125,4,4.5,3885,92021,825500
126,6,6.5,7000,92677,3850000
127,4,2.5,6000,92677,869000
128,2,2.5,915,92677,347000
129,4,3,2965,92677,1349000
130,3,3,1825,92677,685000
131,4,3.5,3100,92677,1499999
132,3,2,1235,92677,469900
133,3,2.5,2248,92677,1199000
134,7,7,3265,92677,1200000
135,2,1,839,92677,324999
136,4,3.5,2441,92677,895500
137,3,3.5,2800,92677,1399999
138,1,1,800,92677,335000
139,2,2,1171,92677,389900
140,2,2,1935,92677,738000
141,3,2.5,1819,92677,798800
142,3,2.5,1950,92677,895000
143,3,2,1303,92677,619000
144,4,3,2614,92677,1045000
145,3,2.5,2141,92677,750000
146,3,2.5,1655,92677,649900
147,3,2.5,2225,92677,949000
148,3,2.5,2125,92677,728000
149,5,3.5,4245,92677,1895000
150,4,4.5,4038,92677,1795000
151,5,4,3489,92677,1650000
152,3,2.5,1808,96019,219800
153,2,2,1056,96019,22000
154,4,2,1881,96019,245000
155,3,1,1132,96019,170000
156,3,2,1372,96019,178000
157,3,2,1560,96019,1795000
158,3,2,1306,96019,239900
159,3,2,1736,96019,239900
160,4,3.5,2900,96019,449900
161,4,2,1768,96019,279900
162,3,2,1008,96019,164000
163,3,2,1696,96019,319500
164,4,2.5,1580,95220,475000
165,4,3,2462,95220,915000
166,4,3,3548,95220,824999
167,4,2.5,2508,95220,699700
168,4,3,1909,95220,649000
169,3,2.5,3467,95220,1449000
170,3,3.5,3172,95220,899900
171,4,3.5,4838,95220,1999999
172,4,3,2840,95220,799900
173,4,3.5,5050,95220,1600000
174,3,2,1299,94501,739000
175,2,1,1065,94501,629000
176,1,1,701,94501,339000
177,2,2,1313,94501,750000
178,3,2,2078,94501,888000
179,3,1.5,1524,94501,749000
180,3,2,1789,94501,895000
181,2,1.5,1120,94501,435000
182,3,2.5,2185,94501,490000
183,3,1.5,1253,94501,599000
184,2,1,766,94501,598000
185,5,3.5,2879,94501,1327685
186,6,4,3492,94501,1495000
187,4,3.5,3485,94501,1895000
188,4,2,1634,94501,899000
189,4,2.5,2020,94501,825000
190,3,1.5,1364,94501,729000
191,4,2.5,2300,94501,1188000
192,2,2,951,94501,538800
193,3,2,1490,94501,949000
194,2,1,834,94501,549000
195,2,1,805,94501,625000
196,1,1,766,94501,349000
197,2,2,994,94501,479000
198,3,2.5,1665,94501,875000
199,3,1.5,1581,94501,895000
200,3,2.5,1652,94501,649000
201,2,1.5,1056,94501,739000
202,2,2.5,1772,93446,499000
203,3,3,2361,94501,988000
204,3,3.5,2724,94501,1150000
205,2,1,1110,94501,649000
206,2,1,1016,94501,679000
207,3,2,1413,94501,619000
208,5,4,3743,94501,1295000
209,3,2,2504,94501,895000
210,3,3,1864,94501,995888
211,5,3,3122,94501,899000
212,3,2.5,1678,94501,668000
213,2,1,1134,94501,599000
214,3,1.5,1581,94501,895000
215,4,2.5,1602,94501,949000
216,4,3.5,3651,93111,1749000
217,5,4.5,5000,93111,4000000
218,3,2,1368,93111,599999
219,4,2,1426,93111,949000
220,3,2,1447,93111,1080000
221,4,2,2304,93111,1495000
222,2,2,1716,93105,895000
223,3,2,1796,93111,897000
224,4,4.5,2844,93111,1595000
225,3,3.5,1876,93111,1149000
226,3,2,1475,93111,769000
227,3,3.5,3136,93111,2150000
228,5,3,3188,92880,567500
229,5,5,3701,92880,579000
230,5,5,4749,92880,749000
231,5,4,4014,92880,699000
232,6,4,4311,92880,695000
233,5,4,2809,92880,635900
234,6,4,3635,92880,585000
235,8,6,3849,92880,580000
236,4,4,3773,91752,579000
237,4,3,3214,92880,547900
238,5,3,3677,92880,570000
239,5,3,3200,92880,568000
240,5,4,3270,92880,560000
241,5,5,4074,92880,550000
242,4,3,2951,92880,549999
243,5,4,3500,92880,545000
244,5,3,2622,92880,539900
245,5,3,3034,92880,539800
246,6,4,3375,92880,538000
247,5,3,3340,92880,534977
248,5,3,3075,92880,534888
249,5,3,3013,92880,530000
250,4,3,3000,92880,529900
251,4,3,3141,92880,529999
252,4,3,2650,92880,529900
253,5,3,3054,92543,284900
254,2,3,1627,92253,550000
255,1,1,840,94568,303590
256,3,2.5,2295,90211,1500000
257,8,6,5900,92040,1350000
258,4,2,1512,93720,89900
259,5,3.5,3149,92880,515000
260,3,3,2100,92692,700200
261,4,3,2530,93924,1150000
262,4,3,2287,90265,1695000
263,2,2,1503,92692,664900
264,3,2,1209,92253,250000
265,4,2,2250,93314,310000
266,6,4,4311,92880,695000
267,4,4,2460,90038,1550000
268,5,3,3514,92880,649990
269,4,3,2257,90803,1299000
270,4,3,2870,92880,489000
271,3,1.5,1400,95008,999000
272,5,3,2533,94565,540000
273,4,3,3010,92880,490000
274,3,2.5,1321,91915,360000
275,3,3,1905,92880,448000
276,6,4,4311,92880,669472
277,4,3,2825,91752,549900
278,4,3,2579,92880,520000
279,4,4,2893,92880,520000
280,4,3,3099,92880,519900
281,4,5,3307,92880,519900
282,3,3,2367,92880,529000
283,5,4,3972,91752,525000
